rgi_id,glac_name,surge_type,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,term_type,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
RGI2000-v7.0-G-11-00363,"",0,11,11-01,G007414E44121N,753421,731,2003-08-13T00:00:00,7.414090213483146,44.1217095,32,0.057194485108644,0,0,9,0,7.414267307956277,44.12400109380577,2417.65,2778.6118,2601.0576,2590.5667,39.69607,27.678267,2,COPDEM30,517
RGI2000-v7.0-G-11-00364,"",0,11,11-01,G007423E44115N,753428,731,2003-08-13T00:00:00,7.422495117095782,44.1149845,32,0.07830182111825,0,0,9,0,7.421665294891526,44.11769027553301,2629.724,2876.2957,2756.973,2746.7905,33.897106,34.29679,2,COPDEM30,571
RGI2000-v7.0-G-11-00365,FR4N01154Q10 Ferrand,0,11,11-01,G006893E45141N,752922,731,2003-08-13T00:00:00,6.893989499410377,45.140175,32,0.28762105499601,0,0,9,0,6.887288237723121,45.13796344352676,3041.064,3338.0967,3177.8752,3184.4668,25.257221,300.74309158325195,8,COPDEM30,757
RGI2000-v7.0-G-11-00366,Agnello IT4L01471004,0,11,11-01,G006900E45146N,752932,731,2003-08-13T00:00:00,6.900097191468261,45.1455545,32,0.086498595167847,0,0,9,0,6.90303253251547,45.146845715438616,2978.2793,3158.6746,3062.1282,3066.8599,30.447191,1.2739948,1,COPDEM30,511
RGI2000-v7.0-G-11-00367,"",0,11,11-01,G006890E45159N,752914,731,2003-08-13T00:00:00,6.889705395123366,45.159446,32,0.03860191432954,0,0,9,0,6.891107299721647,45.15925098581806,3155.082,3210.3127,3167.8293,3171.3208,19.735994,131.59435,4,COPDEM30,220
RGI2000-v7.0-G-11-00368,FR4N01154Q06 des Aiguilles,0,11,11-01,G006886E45163N,752906,731,2003-08-13T00:00:00,6.883873807514894,45.163142,32,0.138443267025514,0,0,9,0,6.882812120326463,45.16380549331277,2781.7056,3117.5486,2891.1912,2905.515,31.344297,322.4899063110352,8,COPDEM30,661
RGI2000-v7.0-G-11-00369,FR4N01154Q04? de Savine,0,11,11-01,G006897E45172N,752927,731,2003-08-13T00:00:00,6.89575381836989,45.1717795,32,0.060257290908357,0,0,9,0,6.898582946075905,45.17244243767427,2907.1057,3123.4,2994.5068,3000.1199,35.48819,27.399897,2,COPDEM30,418
RGI2000-v7.0-G-11-00370,FR4L01421A01 du Bard,0,11,11-01,G006931E45182N,752965,731,2003-08-13T00:00:00,6.931048644129527,45.1820915,32,0.054002806689867,0,0,9,0,6.933246151693782,45.18230007621894,3137.8809,3294.1548,3201.78,3205.9702,30.235146,39.85821,2,COPDEM30,417
RGI2000-v7.0-G-11-00371,FR4N01154Q12 d'Ambin,0,11,11-01,G006869E45136N,752882,731,2003-08-13T00:00:00,6.867358716900313,45.1345545,32,0.200149293031082,0,0,9,0,6.87002581283534,45.137045105278915,2821.3674,3193.7703,2947.4087,2969.4705,31.670172,5.329285,1,COPDEM30,852
RGI2000-v7.0-G-11-00372,FR4N01154Q13 Sommeiller,0,11,11-01,G006856E45134N,752860,731,2003-08-13T00:00:00,6.852556574049339,45.132623,32,0.539139546642916,0,0,9,0,6.858559426477501,45.13689299963762,2837.3252,3216.7698,2962.4146,2979.74,23.67167,345.6355667114258,1,COPDEM30,1411
RGI2000-v7.0-G-11-00373,FR4N01154Q18 d'Etache,0,11,11-01,G006833E45140N,752845,731,2003-08-13T00:00:00,6.834190889238002,45.139796000000004,32,0.104877953105662,0,0,9,0,6.832193364798758,45.14195025575621,2831.4143,3049.508,2907.924,2914.146,29.03926,27.201647,2,COPDEM30,571
RGI2000-v7.0-G-11-00374,FR4N01154B05 de Pierre Minieu 1,0,11,11-01,G006798E45157N,752808,731,2003-08-13T00:00:00,6.798438510979359,45.155836,32,0.031393484704204,0,0,9,0,6.797642378613159,45.15723181157044,3026.892,3135.3125,3060.6228,3065.831,22.936666,24.894522,2,COPDEM30,373
RGI2000-v7.0-G-11-00375,FR4N01151C08 du Coin du Covard 1,0,11,11-01,G006760E45282N,752770,731,2003-08-13T00:00:00,6.759730276315789,45.279603,32,0.057685283859116,0,0,9,0,6.761080815031766,45.278719471867745,2799.9424,3012.508,2832.184,2851.2383,21.068672,109.99081,3,COPDEM30,502
RGI2000-v7.0-G-11-00376,FR4N01151C08 du Coin du Covard 3,0,11,11-01,G006760E45281N,752771,731,2003-08-13T00:00:00,6.76017331995526,45.2811215,32,0.012782481284288,0,0,9,0,6.760557965007949,45.280559795584196,2856.4375,2910.6667,2882.8735,2883.1055,25.614807,177.4892,5,COPDEM30,109
RGI2000-v7.0-G-11-00377,FR4N01151C08 du Coin du Covard 2,0,11,11-01,G006761E45284N,752772,731,2003-08-13T00:00:00,6.760866378111274,45.2836585,32,0.026064561934765,0,0,9,0,6.760325223904361,45.282698150764986,2990.3494,3159.6501,3067.795,3068.5085,37.16251,189.2098846435547,5,COPDEM30,254
RGI2000-v7.0-G-11-00378,"",0,11,11-01,G006754E45288N,752762,731,2003-08-13T00:00:00,6.753708348828697,45.2877275,32,0.028548318370988,0,0,9,0,6.753459521218564,45.286997723386406,3524.8708,3635.6394,3587.8083,3584.6729,33.503437,156.88142,4,COPDEM30,234
RGI2000-v7.0-G-11-00379,FR4N01152A01 de Belle Place,0,11,11-01,G006767E45290N,752777,731,2003-08-13T00:00:00,6.766281702054798,45.2896185,32,0.433730177350067,0,0,9,0,6.771194317917762,45.29247924281041,2810.9377,3232.3154,3024.4995,3018.439,28.836819,68.66283,3,COPDEM30,948
