rgi_id,Mean_velsurf_mag,Std_velsurf_mag,Min_velsurf_mag,Q1_velsurf_mag,Median_velsurf_mag,Q3_velsurf_mag,Max_velsurf_mag,Mean_velsurfobs_mag,Std_velsurfobs_mag,Min_velsurfobs_mag,Q1_velsurfobs_mag,Median_velsurfobs_mag,Q3_velsurfobs_mag,Max_velsurfobs_mag,MAE_velsurf_mag,n_obs_thk,coverage_pct,Mean_thk_model_at_obs,Std_thk_model_at_obs,Mean_thk_obs,Std_thk_obs,MAE_thk,Bias_thk,RMSE_thk,MedianAE_thk,Q95AE_thk,Min_thk_obs,Q1_thk_obs,Median_thk_obs,Q3_thk_obs,Max_thk_obs
RGI2000-v7.0-G-11-00744,4.34262752532959,3.6671693325042725,0.0,0.6518378257751465,4.056498050689697,7.197535037994385,12.612149238586426,4.680897235870361,3.699887990951538,0.0,2.291999936103821,3.7204935550689697,6.14096999168396,24.670169830322266,3.4865939617156982,185,8.872901678657074,55.33312225341797,29.418476104736328,79.2425765991211,32.90635299682617,28.413606643676758,-23.909427642822266,35.31319827849426,24.473663330078125,66.06143951416016,8.448275566101074,57.0,76.08333587646484,106.08333587646484,138.0
RGI2000-v7.0-G-11-03119,20.250667572021484,16.530364990234375,0.0,8.773062705993652,17.858232498168945,27.4351806640625,107.96289825439453,23.627893447875977,26.839149475097656,0.0,3.4363226890563965,11.930221557617188,35.916133880615234,180.67172241210938,19.511762619018555,167,2.6295071642261063,114.47001647949219,64.90242004394531,99.67066192626953,32.486610412597656,40.8876953125,14.799402236938477,50.444264087177196,32.0,97.0706573486327,10.0,82.5,106.0,120.5,201.0
RGI2000-v7.0-G-11-01432,1.2144163846969604,1.0748114585876465,0.0,0.3796166479587555,0.8975891470909119,1.7771813869476318,5.961827754974365,4.686629295349121,3.8807082176208496,0.0,2.293233275413513,3.8732707500457764,5.865309476852417,31.449481964111328,3.5506184101104736,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00937,42.07075500488281,55.493896484375,0.0,4.1849058866500854,14.564664840698242,60.27574062347412,278.5948791503906,33.47712326049805,41.710479736328125,0.0,5.503049373626709,15.076933860778809,45.742919921875,202.42977905273438,28.099403381347656,313,4.836217552533992,51.41501235961914,17.42467498779297,60.43539810180664,29.367538452148438,18.631547927856445,-9.020393371582031,26.81079380680067,11.027313232421875,60.67769622802731,10.0,38.5,54.0,72.0,150.3333282470703
RGI2000-v7.0-G-11-03577,7.580135822296143,5.390196800231934,0.0,3.1187989711761475,7.077242374420166,11.66050386428833,24.379024505615234,7.8598785400390625,7.456842422485352,0.0,2.9586379528045654,5.16378927230835,10.30954647064209,45.595333099365234,5.359866142272949,55,0.6458431188351339,53.543907165527344,34.07594680786133,98.63636016845703,31.12401008605957,46.44088363647461,-45.09245681762695,54.17004521715046,49.44606018066406,88.58718719482421,38.0,76.0,103.0,124.5,165.0
RGI2000-v7.0-G-11-00414,9.948112487792969,10.154991149902344,0.0,4.483976602554321,7.077136993408203,10.98569917678833,71.5053939819336,15.90640640258789,23.48851776123047,0.0,3.7517114877700806,6.996800899505615,17.90091323852539,156.9894256591797,14.771072387695312,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-02645,9.4309663772583,7.394708156585693,0.0,3.9616228342056274,8.551620483398438,12.895520210266113,61.63157653808594,18.87969207763672,23.05870246887207,0.0,5.446279048919678,11.765326499938965,21.374492645263672,160.35975646972656,11.143231391906738,1190,12.644777388162789,141.01251220703125,91.98204040527344,212.02098083496094,115.75125885009766,72.38992309570312,-71.008544921875,88.02808001480976,61.50437545776367,168.22612915039056,12.571428298950195,105.51785659790039,211.03333282470703,322.0,440.5
RGI2000-v7.0-G-11-03135,7.969735145568848,6.404945373535156,0.0,2.1935722827911377,6.9779052734375,13.139215469360352,24.368698120117188,6.83952522277832,13.009695053100586,0.0,2.1367599964141846,4.113285541534424,7.402298927307129,307.0072021484375,6.699367523193359,120,3.2249395323837677,73.39154815673828,40.16080856323242,89.70555114746094,39.03837966918945,25.905029296875,-16.31401252746582,30.776279539999937,24.516735076904297,53.917783355712885,8.0,49.0,96.0,120.0,151.0
RGI2000-v7.0-G-11-03582,8.395964622497559,6.950216293334961,0.0,2.0890029668807983,7.027313232421875,13.893857955932617,26.65752601623535,20.728046417236328,20.29979705810547,0.0,7.006230592727661,15.178237915039062,27.06846809387207,109.95124053955078,13.919562339782715,50,1.139731023478459,76.70692443847656,53.06574630737305,123.54000091552734,38.84492874145508,49.505043029785156,-46.83308029174805,59.95114588211075,50.771728515625,110.84115676879881,32.0,103.5,122.5,152.75,194.0
RGI2000-v7.0-G-11-02917,1.6807801723480225,1.252469778060913,0.0,0.6907371878623962,1.42587149143219,2.483977794647217,9.224028587341309,5.710995674133301,8.110173225402832,0.0,1.5359103083610535,3.1008946895599365,7.164048552513123,106.37773132324219,4.345797061920166,187,3.0580539656582175,32.4180793762207,15.20356273651123,19.537702560424805,9.55634593963623,19.779165267944336,12.880380630493164,23.981365599066574,17.09145164489746,46.784675216674806,6.0,15.0,18.0,19.5,52.0
RGI2000-v7.0-G-11-01181,3.372612953186035,2.7742838859558105,0.0,0.7927002310752869,3.250474452972412,5.30011510848999,14.098774909973145,2.829195261001587,1.73755943775177,0.0,1.5668366253376007,2.6140764951705933,3.7758103609085083,13.392544746398926,2.2832748889923096,222,11.206461383139828,25.445926666259766,19.18077278137207,39.17246627807617,14.779867172241211,17.30769157409668,-13.726533889770508,21.82334722004667,14.426600456237793,41.842907333374015,8.0,30.0,37.45000076293945,48.9642858505249,80.9000015258789
RGI2000-v7.0-G-11-02999,3.999877452850342,2.6205596923828125,0.0,2.2558807134628296,3.7091383934020996,5.406288146972656,12.521354675292969,4.637903690338135,3.413848638534546,0.0,2.374250888824463,3.719012141227722,6.0732598304748535,23.832788467407227,3.2614521980285645,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-00188,3.788367748260498,3.8323726654052734,0.0,1.2276229858398438,2.7288036346435547,4.8872971534729,20.548810958862305,7.825227737426758,8.838583946228027,0.0,1.262518048286438,3.3746464252471924,12.906682968139648,38.97371292114258,6.129553318023682,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
RGI2000-v7.0-G-11-03356,1.8314299583435059,1.5713697671890259,0.0,0.22418120503425598,1.620586097240448,3.1445720195770264,6.364340305328369,18.601655960083008,73.06856536865234,0.0,1.769665241241455,2.9942333698272705,5.029565453529358,645.679443359375,17.072463989257812,6,0.23828435266084194,18.898128509521484,18.931053161621094,21.66666603088379,6.548961162567139,15.231463432312012,-2.7685375213623047,16.168504328680577,15.625534057617188,22.169099807739258,14.0,16.75,21.0,23.75,34.0
RGI2000-v7.0-G-11-00910,21.015535354614258,21.44184112548828,0.0,5.060004949569702,14.925249099731445,28.600986003875732,102.08475494384766,17.691059112548828,22.371461868286133,0.0,3.907941997051239,8.564335823059082,20.291391849517822,123.7608871459961,10.97239875793457,143,3.8985823336968375,52.66648864746094,34.40107345581055,53.61183166503906,26.264925003051758,20.713016510009766,-0.945336639881134,29.416842913077133,15.073165893554688,63.01846885681153,5.166666507720947,39.70037841796875,49.70000076293945,59.4609432220459,135.375
RGI2000-v7.0-G-11-03115,5.530969619750977,6.173532962799072,0.0,1.5520776510238647,4.452996730804443,7.124682903289795,57.5842170715332,6.38214111328125,7.083745002746582,0.0,2.129102408885956,3.8732422590255737,7.687999367713928,65.93653106689453,6.217028617858887,437,3.4979588569598974,29.14472198486328,26.879573822021484,30.920101165771484,33.22777557373047,26.306873321533203,-1.7753665447235107,33.564142112411986,21.782093048095703,62.86666793823241,8.0,12.0,15.5,36.0,158.0
